Date,Local_Market,Local_Price_LKR,Export_Market,Export_Price_USD,Mango_Age_Days,Days_To_Maturity,Temp_C,Humidity_%,Region,weather,Harvesting_after_3months_price
2020-05-11,Pettah,465.58,Doha,1.312,135,7,28.112058423674874,55,Ampara,Sand,458.92
2022-06-22,Colombo,315.79,Paris,1.395,56,41,29.03956530272081,60,Galle,Ash,326.53
2017-02-01,Colombo,237.08,Doha,0.937,4,113,26.83233907990904,56,Gampaha,Ash,250.52
2022-04-07,Pettah,222.54,Dubai,1.139,22,127,25.0,67,Ratnapura,Clouds,227.22
2019-08-02,Colombo,289.84,Doha,1.034,13,132,26.3,62,Nuwara Eliya,Clear,292.99
2016-02-09,Dambulla,200.72,Doha,0.968,13,126,35.6864455311428,75,Matale,Haze,223.24
2019-01-17,Dambulla,212.28,Doha,1.083,10,135,38.44618035439653,50,Gampaha,Dust,213.52
2017-04-10,Colombo,325.78,Doha,1.102,85,63,25.4,80,Hambantota,Squall,341.89
2019-05-03,Pettah,218.63,Paris,1.385,15,113,18.21793044760506,58,Monaragala,Fog,236.71
2019-10-15,Colombo,282.67,Doha,1.211,72,51,25.2,99,Jaffna,Rain,280.33
2015-06-30,Dambulla,288.15,Dubai,1.17,75,34,28.5,56,Mullaitivu,Clouds,313.52
2018-09-21,Pettah,247.64,Doha,1.015,42,64,27.173044790645083,81,Hambantota,Ash,231.56
2016-03-07,Colombo,451.52,Paris,2.052,112,2,23.4,70,Kandy,Tornado,516.33
2016-03-05,Pettah,302.32,London,1.827,98,69,35.40001301545737,53,Gampaha,Haze,305.37
2023-04-03,Pettah,308.13,Paris,1.732,99,85,19.746403410464204,51,Monaragala,Snow,304.3
2018-02-17,Pettah,471.82,Doha,1.051,120,7,23.393358427622044,72,Galle,Snow,574.33
2021-01-09,Colombo,308.81,Paris,1.404,37,63,28.052022700999242,85,Kandy,Sand,341.15
2020-07-02,Colombo,223.73,Paris,1.619,24,126,21.767812796439642,78,Jaffna,Fog,229.36
2015-12-10,Pettah,218.93,Dubai,1.2,42,39,28.110410263635124,69,Anuradhapura,Haze,246.58
2020-03-20,Dambulla,232.89,Paris,1.585,37,40,30.4,60,Kilinochchi,Squall,263.73
2024-04-14,Colombo,402.35,Paris,1.839,111,10,27.49514204882074,68,Mullaitivu,Snow,424.59
2016-09-08,Pettah,185.98,Dubai,1.157,8,111,28.5,80,Badulla,Clear,177.19
2016-10-27,Colombo,263.23,London,1.331,5,114,30.0,94,Colombo,Tornado,264.52
2017-11-06,Colombo,293.99,Dubai,1.225,80,58,35.07273729419108,57,Trincomalee,Ash,311.87
2016-12-14,Pettah,201.86,Doha,0.974,24,114,26.3,71,Badulla,Tornado,213.01
2021-01-23,Dambulla,211.75,Dubai,1.169,54,71,31.655830103067,74,Jaffna,Ash,226.39
2022-09-10,Dambulla,220.87,London,1.574,24,115,34.6,51,Matale,Squall,230.19
2022-03-12,Colombo,284.24,Doha,1.16,90,44,29.425155886494522,44,Kegalle,Dust,333.33
2015-03-15,Colombo,222.36,Paris,1.411,12,133,28.723559467944032,84,Anuradhapura,Sand,247.06
2019-11-12,Pettah,414.81,Dubai,1.489,120,1,24.3,83,Batticaloa,Drizzle,458.11
2015-07-28,Colombo,232.5,London,1.332,8,118,27.7,71,Ratnapura,Tornado,236.23
2016-03-14,Pettah,245.64,Doha,0.995,0,119,29.93361660248997,68,Nuwara Eliya,Sand,267.99
2019-12-21,Colombo,323.48,Dubai,1.226,72,63,26.5,58,Vavuniya,Thunderstorm,341.68
2015-04-28,Pettah,239.93,Doha,0.911,11,127,24.847193785045032,88,Kandy,Fog,254.24
2020-03-28,Colombo,333.41,Dubai,1.238,104,47,36.640482708537824,63,Kalutara,Sand,378.12
2024-08-04,Pettah,208.96,Paris,1.564,25,128,30.0,89,Puttalam,Clear,221.33
2016-07-28,Pettah,206.78,Paris,1.461,21,133,28.3084615756234,78,Badulla,Smoke,201.33
2017-11-13,Pettah,239.65,London,1.542,15,127,30.590856760460923,70,Ratnapura,Smoke,257.68
2017-04-16,Colombo,383.29,London,1.993,119,9,31.975436052041584,76,Kilinochchi,Ash,389.42
2015-10-05,Colombo,404.11,London,2.122,115,4,25.7,57,Monaragala,Tornado,435.65
2024-03-06,Dambulla,204.07,London,1.464,17,114,27.451711632235412,69,Hambantota,Ash,227.0
2018-03-26,Pettah,219.91,Dubai,1.213,27,63,21.7,63,Kegalle,Clouds,230.6
2021-09-09,Pettah,262.21,Doha,1.148,55,41,30.317570271199962,65,Kilinochchi,Haze,263.33
2022-09-10,Dambulla,256.73,Paris,1.915,106,27,24.494435161866225,62,Kegalle,Fog,261.78
2022-02-12,Dambulla,237.29,Paris,1.443,26,73,26.49558336861431,78,Batticaloa,Ash,264.39
2022-12-17,Pettah,295.62,Paris,1.561,89,34,31.026057421800346,68,Monaragala,Smoke,331.41
2023-12-12,Dambulla,197.5,Doha,0.801,2,116,36.583953423724296,56,Matale,Haze,215.92
2021-05-03,Pettah,256.99,London,1.494,28,42,22.1,98,Batticaloa,Clouds,250.26
2018-12-01,Colombo,249.19,Dubai,1.139,23,121,31.180695380917545,63,Trincomalee,Dust,283.98
2023-04-27,Dambulla,300.75,Paris,1.658,78,33,26.002979696075478,43,Mullaitivu,Dust,270.73
2021-04-13,Colombo,261.93,London,1.42,17,132,28.63525007874128,80,Ratnapura,Snow,270.62
2020-02-27,Dambulla,254.33,Dubai,1.208,57,41,32.9174509886664,87,Matara,Haze,284.98
2022-10-27,Pettah,294.45,Paris,1.814,57,58,25.2,76,Hambantota,Drizzle,306.41
2018-12-13,Dambulla,218.66,Doha,1.048,42,42,23.133800206360604,52,Kurunegala,Snow,238.26
2022-07-15,Dambulla,318.02,Dubai,1.413,110,9,24.504063997244117,68,Jaffna,Mist,351.09
2024-03-31,Dambulla,400.46,Doha,1.394,130,2,29.494650084958458,57,Colombo,Sand,491.08
2021-06-18,Dambulla,188.59,Paris,1.664,9,128,16.205879657985268,58,Kurunegala,Mist,193.86
2024-03-19,Colombo,266.28,London,1.614,20,135,25.13999174705856,52,Kandy,Dust,281.65
2019-10-24,Colombo,312.9,Paris,1.698,72,72,27.29639672377403,84,Kandy,Snow,303.33
2017-06-14,Colombo,279.67,Dubai,1.213,38,81,26.065104782860548,82,Batticaloa,Fog,273.43
2016-03-24,Colombo,379.72,London,2.051,100,28,33.4,54,Gampaha,Clouds,415.39
2019-04-25,Dambulla,349.42,Dubai,1.389,135,7,26.924638381873955,78,Batticaloa,Haze,347.35
2015-07-04,Colombo,304.78,Paris,1.664,89,63,28.01928246775298,69,Jaffna,Smoke,306.13
2016-03-23,Pettah,314.92,Dubai,1.217,66,53,23.642490552658053,72,Mullaitivu,Snow,342.89
2023-07-12,Dambulla,223.22,London,1.39,4,135,26.82686403810462,54,Vavuniya,Ash,233.85
2023-12-29,Dambulla,341.63,Doha,1.144,98,69,30.2,85,Kalutara,Clear,374.8
2015-04-07,Dambulla,204.21,Paris,1.536,30,70,28.213767639264695,44,Kilinochchi,Dust,199.56
2023-12-24,Dambulla,238.02,Paris,1.689,30,36,33.7,67,Trincomalee,Drizzle,282.39
2018-07-05,Pettah,261.56,Paris,1.523,38,34,26.3,67,Puttalam,Squall,277.85
2020-08-17,Dambulla,233.96,Paris,1.457,9,129,23.8,59,Vavuniya,Clear,238.13
2017-04-09,Colombo,315.35,Doha,1.133,88,47,33.79643787194785,62,Kilinochchi,Ash,309.33
2016-06-15,Colombo,236.04,Doha,1.0,25,118,25.3,88,Monaragala,Rain,240.02
2017-07-23,Colombo,301.25,Doha,1.116,37,38,25.057378476568143,82,Mullaitivu,Fog,324.52
2022-10-22,Colombo,332.06,London,1.687,91,82,27.30822570071015,71,Gampaha,Mist,347.99
2023-10-19,Pettah,215.07,Doha,1.192,14,128,33.01630703944833,60,Trincomalee,Sand,213.73
2023-04-13,Colombo,367.9,London,2.024,107,28,25.842196816553198,87,Batticaloa,Fog,372.06
2017-02-28,Pettah,220.68,Doha,0.999,16,134,26.3,87,Kegalle,Drizzle,251.12
2015-05-27,Colombo,350.01,Paris,1.995,101,83,21.897764674992647,80,Hambantota,Fog,379.05
2020-04-08,Pettah,262.88,Dubai,1.069,31,40,22.8,69,Hambantota,Squall,269.28
2021-11-24,Colombo,275.24,Paris,1.36,0,110,27.2,100,Kalutara,Rain,305.24
2016-03-27,Colombo,388.61,Dubai,1.307,129,5,31.3,67,Matale,Thunderstorm,465.75
2016-12-24,Colombo,253.51,Paris,1.568,32,80,20.20363438399093,43,Kurunegala,Snow,265.36
2022-09-29,Dambulla,313.31,Paris,2.039,123,5,20.585941067995456,65,Kegalle,Fog,332.46
2016-05-18,Pettah,243.58,Paris,1.521,15,125,19.556150285810602,87,Nuwara Eliya,Mist,247.69
2017-10-15,Pettah,391.04,Doha,1.205,97,34,29.4,69,Vavuniya,Rain,380.9
2019-09-30,Colombo,276.25,Paris,1.538,84,54,27.536460378321664,61,Monaragala,Ash,281.37
2020-01-13,Colombo,251.77,Paris,1.327,22,126,26.67261098881673,62,Mannar,Mist,257.55
2023-07-12,Pettah,315.9,Paris,1.794,83,34,28.0,56,Matale,Squall,299.12
2021-03-28,Dambulla,202.17,Paris,1.325,0,113,25.2,74,Ampara,Thunderstorm,220.13
2022-01-31,Dambulla,188.52,Doha,1.03,4,111,28.611334054418805,55,Kegalle,Sand,217.37
2019-04-10,Colombo,362.53,Doha,1.176,80,66,30.9,88,Kalutara,Clouds,387.88
2015-06-28,Dambulla,174.53,Paris,1.391,3,119,23.6,81,Anuradhapura,Tornado,185.05
